palabra,peso,ciudad
acerca,0.024390243902439025,Armenia
diferente,0.024390243902439025,Armenia
debido,0.024390243902439025,Armenia
covid,0.024390243902439025,Armenia
compartimos,0.024390243902439025,Armenia
ideas,0.024390243902439025,Armenia
celebres,0.024390243902439025,Armenia
junto,0.024390243902439025,Armenia
leyendo,0.024390243902439025,Armenia
entrada,0.024390243902439025,Armenia
blog,0.024390243902439025,Armenia
mm,0.024390243902439025,Armenia
zoglw,0.024390243902439025,Armenia
biguo,0.024390243902439025,Armenia
zby,0.024390243902439025,Armenia
aparte,0.024390243902439025,Armenia
melena,0.024390243902439025,Armenia
mirado,0.024390243902439025,Armenia
